category_id,category_name,description
1,Women,Adult women allegedly connected to Epstein case
2,Men,Adult men allegedly connected to Epstein case
3,Underage Victims,Minors allegedly victimized or involved
4,Law Enforcement,Police officers and investigators
5,Politicians,Elected officials and government figures
6,Co-conspirators,Alleged accomplices and associates
7,Witnesses,People who claimed to have witnessed activities
8,Journalists,Media professionals investigating the case
9,Lawyers,Attorneys involved in legal proceedings
10,Judges,Judicial officials handling related cases
11,Prison Guards,Correctional officers at facilities where Epstein was held
12,Pilots,Aircraft crew members who worked for Epstein
13,Staff Members,Household staff and employees
14,Business Associates,Corporate partners and financial contacts
15,Scientists,Academics and researchers connected to Epstein
16,Models,Professional models allegedly recruited
17,Massage Therapists,Therapists allegedly involved in activities
18,Recruiters,People accused of recruiting victims
19,Security Personnel,Bodyguards and security staff
20,Financiers,Banking and investment professionals
21,Celebrities,Entertainment industry figures
22,Royalty,Members of royal families
23,Tech Executives,Technology industry leaders
24,Medical Professionals,Doctors and healthcare workers
25,Flight Attendants,Airline crew members
26,Property Managers,Real estate and property staff
27,Accountants,Financial record keepers
28,IT Professionals,Technology and computer specialists
29,Drivers,Chauffeurs and transportation staff
30,Photographers,Professional photographers allegedly present
31,Socialites,High society figures and party attendees
32,Victims' Family Members,Relatives of alleged victims
33,Whistleblowers,People who came forward with information
34,Former Friends,Previous personal associates who distanced themselves
